SubmitTime,UserID,Used Memory,OrigSiteID,GroupID,RunTime
1136274120,U2003S1,961104,clrlcgce02,G3,476
1136274123,U2003S1,937320,clrlcgce02,G3,473
1136274123,U2003S1,7740,clrlcgce02,G3,59
1136274241,U2003S1,965184,clrlcgce02,G3,501
1136274244,U2003S1,956288,clrlcgce02,G3,498
1136274600,U2003S1,958608,clrlcgce02,G3,595
1136274607,U2003S1,935536,clrlcgce02,G3,602
1136274607,U2003S1,984764,clrlcgce02,G3,602
1136274607,U2003S1,950132,clrlcgce02,G3,602
1136274609,U2003S1,951048,clrlcgce02,G3,599
1136274609,U2003S1,951844,clrlcgce02,G3,599
1136274609,U2003S1,943396,clrlcgce02,G3,599
1136274611,U2003S1,953368,clrlcgce02,G3,597
1136274611,U2003S1,938652,clrlcgce02,G3,461
1136274611,U2003S1,949680,clrlcgce02,G3,597
1136274841,U2003S1,951624,clrlcgce02,G3,641
1136274847,U2003S1,944424,clrlcgce02,G3,505
1136274848,U2003S1,951172,clrlcgce02,G3,575
1136274848,U2003S1,952884,clrlcgce02,G3,610
1136274849,U2003S1,959352,clrlcgce02,G3,946
1136274850,U2003S1,959928,clrlcgce02,G3,574
1136274850,U2003S1,977304,clrlcgce02,G3,923
1136274851,U2003S1,941008,clrlcgce02,G3,537
1136274852,U2003S1,983184,clrlcgce02,G3,920
1136276453,U2003S1,952520,clrlcgce02,G3,886
1136276459,U2003S1,949400,clrlcgce02,G3,677
1136276459,U2003S1,947544,clrlcgce02,G3,749
1136276459,U2003S1,952104,clrlcgce02,G3,749
1136276465,U2003S1,947276,clrlcgce02,G3,709
1136276465,U2003S1,950812,clrlcgce02,G3,815
1136276465,U2003S1,951184,clrlcgce02,G3,815
1136276469,U2003S1,938420,clrlcgce02,G3,667
1136276469,U2003S1,965428,clrlcgce02,G3,810
1136276469,U2003S1,958272,clrlcgce02,G3,810
1136276474,U2003S1,956108,clrlcgce02,G3,923
1136276474,U2003S1,916344,clrlcgce02,G3,823
1136276479,U2003S1,951268,clrlcgce02,G3,403
