SubmitTime,WaitTime,RunTime,NProcs,AverageCPUTimeUsed,Used Memory,ReqNProcs,ReqTime,ReqMemory,Status,UserID,GroupID,ExecutableID,QueueID,PartitionID,OrigSiteID,LastRunSiteID
1136274120,1,476,1,239,961104,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136274123,1,473,1,198,937320,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136274123,1,59,1,11,7740,1,19980,614400,1,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136274241,1,501,1,245,965184,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136274244,1,498,1,250,956288,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136274600,1,595,1,215,958608,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136274607,0,602,1,280,935536,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136274607,0,602,1,222,984764,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136274607,1,602,1,253,950132,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136274609,1,599,1,206,951048,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136274609,1,599,1,215,951844,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136274609,1,599,1,201,943396,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136274611,1,597,1,210,953368,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136274611,1,461,1,162,938652,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136274611,1,597,1,279,949680,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136274841,1,641,1,240,951624,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136274847,2,505,1,173,944424,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
1136274848,1,575,1,175,951172,1,31980,614400,5,U2003S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02
