SubmitTime,Used Memory,AverageCPUTimeUsed,RunTime,OrigSiteID_1,OrigSiteID_2,OrigSiteID_3
1151498213,595776,31111,31578,0.0,1.0,0.0
1151614130,595236,31616,32096,0.0,1.0,0.0
1145598472,1398696,28279,30713,0.0,1.0,0.0
1151048768,601212,33668,34216,0.0,1.0,0.0
1146449875,588052,1249,1509,0.0,1.0,0.0
1153722373,67204,9,243,0.0,0.0,0.0
1150030541,609488,45472,47461,0.0,1.0,0.0
1145722698,600056,24643,25503,0.0,1.0,0.0
1151646544,55944,8,57,0.0,0.0,0.0
1153731921,80232,8,433,0.0,1.0,0.0
1150925224,0,0,1,0.0,1.0,0.0
1151556533,598052,33377,34217,0.0,1.0,0.0
1145983997,584128,25747,27877,0.0,1.0,0.0
1153926327,594644,43575,43953,0.0,1.0,0.0
1147232373,63972,70,303,0.0,1.0,0.0
1154420221,1601700,32636,35863,0.0,1.0,0.0
1145723899,586472,22717,25415,1.0,0.0,0.0
1146415278,588280,1167,1908,0.0,1.0,0.0
1150537762,597408,25179,25680,1.0,0.0,0.0
1146193317,597804,24597,24856,0.0,1.0,0.0
1148230385,81708,4,5599,0.0,1.0,0.0
1146417135,587272,1157,2596,0.0,1.0,0.0
1140662654,569400,35676,42626,1.0,0.0,0.0
1147311466,584380,26674,27376,0.0,0.0,0.0
1151654421,20292,9,55,1.0,0.0,0.0
1152736342,584520,48050,48565,0.0,0.0,0.0
1152684927,593644,49409,49799,1.0,0.0,0.0
1149094161,586440,6612,6763,0.0,0.0,0.0
1145179493,565764,23833,24459,0.0,0.0,0.0
1150379114,0,3,5,0.0,0.0,0.0
1150056650,592120,50890,51643,1.0,0.0,0.0
1147389928,591704,17057,18891,1.0,0.0,0.0
1150072363,72248,7,169,0.0,1.0,0.0
1153006678,597004,39537,39833,0.0,1.0,0.0
1141939050,579980,30580,32623,1.0,0.0,0.0
1145590863,600716,53371,53861,0.0,1.0,0.0
1151049787,600892,31924,32461,0.0,1.0,0.0
1153732426,80296,7,436,0.0,1.0,0.0
1153727995,72760,13,1852,0.0,1.0,0.0
1148657608,598948,5859,6076,0.0,1.0,0.0
1147347300,604768,19293,20200,0.0,0.0,0.0
1153735888,74308,8,250,0.0,1.0,0.0
1151920203,68924,7,56,0.0,1.0,0.0
1151728818,25672,9,62,0.0,1.0,0.0
1149820335,63856,4,194,0.0,1.0,0.0
1148893414,582088,6907,7021,1.0,0.0,0.0
1149703118,592988,31888,32595,0.0,1.0,0.0
1147966971,0,1,2,0.0,1.0,0.0
1145585355,587780,56800,57230,1.0,0.0,0.0
1151018875,580508,40338,40668,1.0,0.0,0.0
1150606038,582872,47680,50056,1.0,0.0,0.0
1153749953,25704,8,52,0.0,1.0,0.0
1151621406,79320,7,81,0.0,1.0,0.0
1154511626,1758448,30949,34536,0.0,1.0,0.0
1142917826,555652,81771,82314,1.0,0.0,0.0
1152447755,0,1,2,0.0,1.0,0.0
1148859034,598920,5919,6485,0.0,1.0,0.0
1143842886,559132,11226,14979,1.0,0.0,0.0
1149980632,593056,46208,48021,0.0,1.0,0.0
1147400293,571644,19893,20540,0.0,0.0,0.0
1156230889,607160,172814,173284,0.0,1.0,0.0
1147389956,63448,9,101,0.0,0.0,0.0
1151406428,596648,40847,42142,0.0,1.0,0.0
1153724746,25636,8,50,0.0,1.0,0.0
1144417101,588184,23718,26828,0.0,1.0,0.0
