SubmitTime,Used Memory,OrigSiteID,AverageCPUTimeUsed,RunTime
1151498213,595776,2,31111,31578
1151614130,595236,2,31616,32096
1145598472,1398696,2,28279,30713
1151048768,601212,2,33668,34216
1146449875,588052,2,1249,1509
1153722373,67204,0,9,243
1150030541,609488,2,45472,47461
1145722698,600056,2,24643,25503
1151646544,55944,0,8,57
1153731921,80232,2,8,433
1150925224,0,2,0,1
1151556533,598052,2,33377,34217
1145983997,584128,2,25747,27877
1153926327,594644,2,43575,43953
1147232373,63972,2,70,303
1154420221,1601700,2,32636,35863
1145723899,586472,1,22717,25415
1146415278,588280,2,1167,1908
1150537762,597408,1,25179,25680
1146193317,597804,2,24597,24856
1148230385,81708,2,4,5599
1146417135,587272,2,1157,2596
1140662654,569400,1,35676,42626
1147311466,584380,0,26674,27376
1151654421,20292,1,9,55
1152736342,584520,0,48050,48565
1152684927,593644,1,49409,49799
1149094161,586440,0,6612,6763
1145179493,565764,0,23833,24459
1150379114,0,0,3,5
1150056650,592120,1,50890,51643
1147389928,591704,1,17057,18891
1150072363,72248,2,7,169
1153006678,597004,2,39537,39833
1141939050,579980,1,30580,32623
1145590863,600716,2,53371,53861
1151049787,600892,2,31924,32461
1153732426,80296,2,7,436
1153727995,72760,2,13,1852
1148657608,598948,2,5859,6076
1147347300,604768,0,19293,20200
1153735888,74308,2,8,250
1151920203,68924,2,7,56
1151728818,25672,2,9,62
1149820335,63856,2,4,194
1148893414,582088,1,6907,7021
1149703118,592988,2,31888,32595
1147966971,0,2,1,2
1145585355,587780,1,56800,57230
1151018875,580508,1,40338,40668
1150606038,582872,1,47680,50056
1153749953,25704,2,8,52
1151621406,79320,2,7,81
1154511626,1758448,2,30949,34536
1142917826,555652,1,81771,82314
1152447755,0,2,1,2
1148859034,598920,2,5919,6485
1143842886,559132,1,11226,14979
1149980632,593056,2,46208,48021
1147400293,571644,0,19893,20540
1156230889,607160,2,172814,173284
1147389956,63448,0,9,101
1151406428,596648,2,40847,42142
1153724746,25636,2,8,50
1144417101,588184,2,23718,26828
1151917431,20284,0,9,66
1151791159,85396,2,9,92
1149655456,596144,2,29620,30356
1150815267,583064,0,47352,54102
1152798721,602292,2,41470,41785
1146665942,576668,0,28996,29666
1147409026,25688,2,7,68
1151711726,79200,2,9,80
1149141893,1575248,2,31636,35932
1145105136,576172,1,30653,31883
1149469200,611000,2,18733,19153
1146665953,575624,0,24242,25275
1148450407,100760,2,50,6196
1140768879,568668,1,31301,32208
1151620809,20724,2,7,86
1145338712,0,2,3,7
1146413689,588112,2,1172,1583
1151746793,25668,2,9,65
1149662836,56288,0,4,194
1149093947,582380,0,7163,7291
1145104606,574444,0,30418,31696
1152995613,1572436,2,26671,29476
1146374393,1265208,2,24588,27892
1154540955,126004,2,39,2066
1147480056,584792,1,49799,50997
1151647715,20296,1,9,50
1149490520,617800,2,23176,23644
1151657638,79284,2,8,56
1149368283,615196,2,19031,19479
1151697823,1599940,2,27936,33882
1137499084,2098276,1,2331,3595
1152033923,1586800,2,31304,35519
1139178762,1511648,1,2259,2646
1146180631,74632,2,21,3682
1161323737,285208,1,10009,20564
1139347719,555364,1,2513,3293
1151492260,1556476,2,31023,34097
1148074590,615208,2,39487,39748
1150984142,85176,2,48,9850
1146374396,1249428,2,23326,26355
1151305425,75172,2,29,1850
1146723383,0,0,0,2
1145255981,619340,2,52996,53424
1145991420,573372,0,32734,33531
1145179063,581224,2,23799,24644
1145723292,595780,2,24179,25246
1150441573,596192,0,22754,22941
1144522950,1259240,2,22720,42966
1150849980,601820,2,45054,46195
1149320949,608684,2,45695,47091
1151726795,74856,2,8,61
1140271492,278368,0,351,858
1149652105,63844,2,3,193
1151944640,600096,2,29938,30256
1152036951,74628,2,8,1852
1148014887,620216,2,30729,31419
1150479133,601768,0,29546,29831
1152143656,162632,2,46,955
1152991493,1628568,2,33363,37005
1145105140,575440,1,29904,31094
1149094161,581608,0,6817,6943
1152298196,1587752,2,26921,37002
1145883387,576100,0,29305,32306
1150810751,43908,0,3,3607
1147347285,580060,2,15841,16533
1147727003,20716,2,8,52
1153061618,602808,2,45125,45444
1152178738,25700,2,9,69
1153754213,601080,2,40190,42140
1151412545,587432,0,45487,46860
1152665133,1773180,2,36564,43294
1150497841,610272,2,42497,44176
1151492018,71616,2,9,962
1140069013,574424,1,22693,25044
1151753473,69328,2,8,66
1145511996,588376,0,62355,63376
1151717614,71276,2,9,65
1136297076,59660,1,8,1850
1150438773,587164,1,46608,48697
1147894432,110912,2,38,163
1151657327,76548,2,7,951
1153735877,71112,1,8,271
1151740485,20716,2,8,81
1147301377,589800,2,19045,19874
1145876436,582844,2,24674,26095
1148063663,20740,2,7,42
1140601629,567464,1,29380,30983
1151723231,76776,2,9,1850
1149277418,64644,0,31,1857
1151626091,68900,2,7,87
1145240954,600800,2,47984,48435
1152730414,598624,2,43707,44229
1139552424,575192,1,32473,40425
1144599346,570444,1,29022,29781
1139883890,578788,1,26656,27498
1147973675,0,0,0,2
1144418521,571100,0,27901,32059
1152839860,594372,2,38257,39051
1151444246,1569284,2,31466,34848
1145469919,599256,2,51213,51632
1151108169,60776,1,12,1854
1150814934,77612,2,19,1851
1152702222,601380,2,42321,42704
1153028413,77452,2,9,77
1150116582,491628,2,118,957
1145883755,585404,2,25297,27511
1151915593,60916,0,9,1853
1147715997,1552592,2,31125,35688
1154511626,1665384,2,25202,28241
1146412831,588148,2,1171,1479
1149657913,63848,2,3,190
1150607145,590464,2,34429,36070
1145484452,575768,0,26789,28293
1145104605,571312,1,30071,30848
1150128219,615488,2,42301,43932
1147342155,577864,0,17426,18324
1151694549,74976,2,8,85
1143753242,556292,1,10920,11199
1151657328,584560,0,39614,40571
1149395095,599948,2,48231,49247
1151734609,25672,2,8,56
1152446816,0,2,1,2
1146182846,62220,1,22,3684
1150027390,584752,2,172879,173328
1151650843,56536,1,9,45
1145723297,597188,2,20767,21504
1152298198,1590484,2,27347,28975
1149577060,594796,2,32250,33063
1150536685,643600,1,32653,33114
1151734605,25660,2,8,54
1150970756,587660,1,48464,49286
1151647256,20296,0,8,54
1146189662,81656,2,12,2502
1147305564,571464,0,25297,26074
1153754742,599056,2,43890,45708
1154029927,597612,2,40194,40544
1151310377,81980,2,9,961
1153724063,67236,0,9,434
1136294157,59896,1,8,1852
1150984824,592224,2,39364,40364
1142718295,582564,1,35477,36544
1140274554,569768,1,29007,29522
1153737313,80248,2,8,449
1152862299,609248,2,45302,45631
1151658487,72612,2,12,953
1142819210,583256,1,39642,43286
1153749999,71084,1,9,244
1149517941,596288,2,36577,37477
1153741364,80284,2,8,241
1145936683,582228,2,22076,23562
1151733403,25680,2,9,62
1151709859,75248,2,9,80
1149731543,616248,2,21983,22222
1148836078,602404,2,5800,6020
1146456469,588056,2,1229,1473
1146446895,588064,2,1258,1612
1145913120,574460,0,28862,39903
1151655231,55988,0,9,53
1147726822,916848,2,1028,5722
1151712876,73292,2,8,68
1144599126,596184,2,27617,30672
1145253852,603252,2,55901,56378
1151693041,25676,2,9,74
1149132313,194364,2,45,171
1149094167,582208,0,7042,7168
1148621855,598696,2,5745,5950
1148232236,622812,2,35204,35423
1148051107,617400,2,38792,42244
1153118165,597780,2,40069,40585
1151694889,20320,1,9,69
1140007667,579296,1,88466,89187
1149268807,144140,2,24,811
1153032825,0,2,1,2
1151660367,76536,2,10,1853
1150037521,1126120,2,41084,41343
1151754263,79268,2,9,63
1151617000,68968,2,7,78
1151649270,25656,2,9,53
1137051245,630908,0,1411,1717
1146413133,588100,2,1168,1448
1151653211,20264,0,8,53
1148221852,76664,2,11,2203
1151619369,85176,2,7,81
1149854130,592156,2,38733,40614
1145337522,0,2,3,9
1148076942,1188560,2,21259,31952
1149377814,612380,2,17429,17839
1147208241,1421176,2,27586,30101
1153742340,74832,2,7,254
1150938721,0,2,1,2
1150794030,53576,2,3,3607
1147986998,0,2,0,2
1145887226,585476,2,24556,27426
1149449904,1571024,2,31787,37073
1151918806,0,0,0,18124
1151267580,1540932,0,39589,47173
1151856982,76576,2,11,1853
1151754249,79256,2,8,73
1147953778,585276,2,17934,19816
1151435605,72324,2,8,52
1145985595,589720,0,28310,29668
1144962966,58152,1,11,2486
1151654920,25656,2,8,58
1146446465,588272,2,1216,1534
1153060068,596944,2,45686,46034
1153737316,80256,2,8,439
1154420456,1775268,2,30142,33342
1151909750,71844,2,9,1850
1145261008,585648,0,63765,64125
1153735367,80232,2,8,437
1150573601,77584,2,21,2416
1152084871,1440736,2,22145,23648
1149890159,603712,2,42490,46738
1148130283,616124,2,32839,33202
1149094134,582284,0,6556,6679
1153806115,592168,2,172819,173882
1148953673,1101464,2,2462,2518
1151739288,85636,2,10,65
1142863685,0,1,1,2
1151313227,599148,2,30932,31477
1146327065,1270284,2,23493,26391
1151755339,25672,2,8,72
1154030943,600108,2,41903,42265
1149555751,614000,2,9779,9852
1147299047,575536,0,28759,31280
1145875462,578956,0,29047,30391
1146045649,582300,2,26115,29049
1153806120,602488,2,43333,45814
1149703414,81580,2,4,5601
1145883400,587680,2,22863,24687
1146199984,598692,2,27497,27742
1148946086,598680,2,5912,6158
1151697528,85132,2,9,71
1149379797,620644,2,20430,20867
1151543365,599304,2,35679,36125
1147422924,60780,0,9,1855
1151694554,97340,2,21,240
1152648518,1782016,2,29126,31310
1151013230,592844,1,35087,35891
1152181306,25676,2,9,58
1151650843,20288,1,9,53
1152447115,0,2,1,1
1152038635,592800,2,38520,39943
1151310317,565100,1,4548,5411
1151655707,68916,2,7,51
1140791977,0,1,0,1
1140795799,570444,1,30956,32508
1151741231,57796,1,9,59
1150983003,1000720,2,4548,11234
1151909759,586456,2,3161,4701
1147953111,581084,2,19466,20149
1152628538,1553900,2,31490,34150
1150966690,36428,2,0,1
1152184750,593992,2,32081,32569
1151909284,76840,2,13,1850
1150798200,53544,2,3,3606
1146414583,588300,2,1167,1658
1150644748,596296,2,38865,41072
1146023454,583640,2,26075,28732
1147763505,0,1,1,1
1145724127,581984,2,24276,25915
1145572628,596108,2,23738,24920
1151436478,25688,2,7,50
1153182202,82360,2,9,1029
1140831430,566268,1,24574,25129
1145244970,609848,2,49783,50268
1151401783,1587048,0,39952,53894
1153816279,598672,2,44601,45517
1147303743,574528,1,23852,24589
1149659805,63868,2,4,190
1151646539,20288,1,12,69
1147966278,581428,2,14713,16339
1145181138,582212,2,27043,27841
1151741270,75420,2,8,66
1150974556,580816,0,49679,50987
1151746338,71716,1,9,62
1151626098,25648,2,8,73
1153900972,20752,2,7,78
1146276321,600024,2,79808,79989
1151644200,25648,2,8,65
1148057295,116344,2,43,1110
1153721180,80296,2,9,431
1140636533,570492,1,32815,42689
1148021295,618716,2,37534,37763
1151664804,79244,2,9,83
1151737639,25660,2,8,64
1153724051,80224,2,9,430
1151661920,76768,2,9,966
1136294457,57184,1,9,1850
1153748091,80300,2,8,433
1146445598,588712,2,1240,1625
1149509201,621504,0,38092,39024
1151497402,25660,2,8,50
1150051133,581332,1,49245,49902
1151668633,76556,2,8,76
1150831449,1562220,2,31685,42919
1149885185,584800,1,55581,59728
1149957660,594108,2,42414,49564
1150042722,72300,2,9,169
1150931365,0,2,0,2
1149517927,593636,2,32877,33754
1148877812,598260,2,6074,6254
1147299539,581204,2,18442,20381
1150932900,0,2,0,1
1150004223,580852,1,46608,48436
1139438228,559840,1,1455,2053
1154944712,295208,2,8614,24027
1144396375,586816,2,28619,32501
1146187612,76676,2,16,3683
1147725747,585044,2,16801,18587
1145511328,601916,2,61826,62304
1140553843,577540,1,35180,47275
1151651287,20304,1,9,58
1152377719,602780,2,34355,34675
1148640823,598872,2,6211,6496
1146182123,72784,2,16,3681
1149353402,597820,2,38563,39621
1150946607,0,2,0,2
1149847663,99432,2,34,43234
1151655226,56572,0,8,52
1150823517,599524,2,44845,51813
1150441869,612376,2,22371,22608
1150864675,600068,2,40235,42817
1151649267,20268,1,9,60
1152035361,74852,2,8,1852
1152611645,593400,2,34031,34276
1148640701,601252,2,5553,5764
1147761915,60372,0,8,169
1145629387,1403976,2,28117,30604
1151658505,16404,0,9,82
1151650128,25692,2,8,58
1149560941,617168,2,24173,24655
1145374929,585280,1,62253,62598
1152346817,121620,2,50,2275
1140009063,569452,1,26063,35738
1141104732,572128,1,42904,45430
1149938653,587988,1,51673,58816
1145592683,604128,2,52914,53385
1150793198,53592,2,3,3606
1150042714,72224,2,8,167
1149621211,583644,1,37829,38508
1149574092,647084,2,31055,31796
1136478088,305532,1,69,3389
1147347262,569192,1,17036,18023
1150849641,1596136,2,31463,67872
1136294463,57132,1,8,1854
1153232308,596840,2,38874,39545
1145178063,571124,1,27292,28425
1153147071,81452,2,13,3274
1147399534,585372,2,17169,18924
1151712843,20340,1,9,64
1144418969,569816,1,28923,31918
1146448283,588360,2,1233,1650
1139931807,568608,1,25615,26249
1145177290,580280,2,24854,25613
1151609614,25704,2,8,74
1150734712,43900,1,3,3610
1149607567,602492,2,35177,37579
1147696459,580340,1,44593,45647
1145471142,591684,1,56917,57298
1150967263,0,2,0,2
1150096384,72240,2,8,168
1149847843,614412,2,23088,23368
1145105026,571184,0,28251,29229
1145937028,600036,2,79811,80012
1147411938,76532,2,8,1852
1136977647,0,0,1,2
1149508595,580600,0,34063,36173
1153032286,605824,2,45139,45463
1150066392,72212,2,7,169
1150793198,53548,2,3,3607
1151659234,596232,2,36805,37701
1148318625,1746904,2,20605,30196
1153726903,25676,2,8,55
1140689387,578956,1,34192,48176
1153745308,80248,2,8,444
1145348300,0,2,3,7
1151651652,20292,1,9,57
1150941224,0,2,0,2
1149484412,616080,2,22975,23488
1145911704,79256,2,9,64
1146448260,588036,2,1224,1565
1146558617,1420360,2,27345,29660
1153037238,86948,2,9,85
1153721768,71128,0,9,243
1149515244,610796,2,4513,4596
1153059534,598008,2,40962,41402
1151910536,71832,2,10,1852
1147984241,0,2,0,1
1148650728,598680,2,5801,6079
1153813853,591824,2,41438,42385
1152035364,598832,2,42075,42582
1148884662,598856,2,5911,6151
1136284894,57132,1,8,1850
1146723803,573284,0,26871,28049
1150815791,70164,0,15,966
1145334495,585752,1,63324,63786
1150946607,43256,2,0,2
1152796290,593576,2,42672,43011
1149488403,84656,2,44,170
1137410408,65968,0,12,1674
1148230880,582948,2,18747,19781
1148078424,74864,2,9,1853
1150473511,437620,0,158,209
1146045658,76688,2,9,1846
1151742980,75264,2,8,83
1154331722,581484,0,37944,38127
1147973677,0,2,1,1
1147422930,62184,0,10,1852
1153749999,20316,1,10,57
1149796344,613036,2,19935,20121
1145335990,584536,1,54873,55199
1136478087,935956,1,219,471
1148683881,598820,2,6444,6644
1149890169,596428,2,43562,48154
1151916019,60796,0,9,965
1145890348,584028,2,26288,29397
1152919840,603724,2,41202,41533
1153813255,596116,2,39605,41155
1153061568,609992,2,42442,42725
1151421202,594980,2,32628,33072
1151659226,595920,2,33185,34033
1151656500,81948,2,9,974
1149487522,0,2,1,1
1146450721,588048,2,1220,1550
1153735885,80292,2,9,432
1145261418,602976,2,51164,51628
1150967233,0,0,0,2
1144522716,587732,2,27502,30806
1146377634,0,2,0,2
1145908460,75288,2,9,957
1137406232,663064,0,52129,52973
1151609606,74848,2,8,71
1147297539,578928,0,23415,26842
1148640823,598904,2,5816,6038
1153729154,80176,2,8,433
1146445271,588096,2,1203,1471
1151914046,71888,2,7,408
1147885985,181200,0,51,179
1151309965,576100,1,11649,11887
1152299702,1566324,2,26309,31503
1149886886,584620,1,43744,46090
1148683620,598780,2,5816,6048
1151698306,20748,2,8,88
1141816331,0,1,1,2
1148884545,598828,2,5789,6005
1151617782,594816,2,32183,32543
1149885211,598704,2,45089,47777
1139347473,555016,1,2553,3336
1148645898,598184,2,5875,6113
1149662818,63900,2,4,190
1149886883,581756,1,48833,52661
1147885853,90132,2,39,167
1146374391,0,2,3,12
1151738929,25664,2,9,58
1146447192,588088,2,1235,1606
1150982988,1596668,2,32246,36831
1145484488,584620,2,25791,26565
1147352576,610108,2,16045,17193
