Used Memory,OrigSiteID,AverageCPUTimeUsed,RunTime
569776,1,27266,28892
585896,1,64954,65256
25692,2,8,53
25684,2,7,61
602012,0,25941,26143
583868,2,26191,26984
62948,0,9,242
585416,0,60758,61094
572140,0,27775,29210
1189844,2,21193,34381
601536,2,33805,34398
1642748,2,5131,8841
2098316,1,2341,3980
595144,2,172908,173552
145584,2,41,2148
582016,2,17300,18381
74864,2,8,77
639256,2,43023,46780
597944,2,43444,43862
598696,2,5444,5695
0,2,0,1
602076,2,45677,52983
69052,1,10,967
598196,2,42323,42635
20284,0,9,60
584148,1,63292,63798
567556,1,29551,40061
85232,2,8,249
598848,2,6016,6219
25692,2,8,63
135680,2,29,402
596728,2,24994,25844
67348,0,9,129
583748,0,48338,49546
1392932,0,35287,40147
81716,2,4,5605
596744,2,32242,33002
611312,2,31353,31588
576260,0,29977,30826
569872,1,24240,26111
597752,1,50375,51472
20264,1,9,59
71212,0,9,88
76856,2,9,962
74632,2,21,3682
596992,2,41809,43030
125560,2,31,2466
622816,2,40000,40323
1426748,0,34995,40065
551156,1,1774,2386
615484,2,20275,20686
25668,2,9,61
620196,2,26664,27132
598952,1,30636,30899
588064,2,1270,1616
574532,0,26125,26841
16404,1,8,70
0,2,3,10
102480,2,50,4683
662860,2,51851,52374
600384,2,49021,51218
72764,2,23,1851
592076,2,24063,25084
1383944,2,22518,33904
0,2,0,2
619604,2,45176,46320
579812,2,13003,13820
555392,1,2659,3429
595176,2,28878,29739
580880,1,32625,34937
615988,2,22969,23199
628572,2,41369,42268
574016,1,36426,37670
75260,2,7,85
623868,2,32823,33116
57376,1,9,78
59900,1,9,1852
16456,1,9,79
581504,1,49331,50466
580784,1,37068,39138
0,2,1,2
0,2,1,2
596584,2,15084,17118
571000,1,27963,28709
63740,0,24,3684
567548,1,33777,34345
77728,2,21,1851
65836,1,11,2199
144988,2,42,1220
0,2,1,2
62036,0,29,1854
1328248,2,25731,28688
660792,2,23650,27251
586472,1,7184,7340
634024,2,33933,34346
594556,2,35366,35903
0,2,1,2
626400,2,36941,37348
588304,2,1174,1993
74848,2,9,84
55788,1,8,73
585288,0,61736,62054
79264,2,9,65
77756,2,28,2421
85212,2,8,248
596864,2,40312,40645
583304,1,53370,60525
616080,2,22975,23488
594820,2,36297,37214
584352,0,53203,56340
598960,2,5891,6076
0,2,1,2
1714296,0,34159,44191
20284,0,8,66
53608,2,3,3606
585436,2,24910,25708
617472,2,23218,23642
57148,1,8,1851
568644,1,24048,24542
587064,0,65455,65780
592072,2,40184,40599
587792,0,41756,42291
552104,1,1460,2402
25708,2,9,68
582580,1,48990,50170
597604,2,26455,27722
571472,0,26565,27335
74816,2,9,82
603472,2,41112,45544
72716,2,12,1853
575196,1,45176,47251
584964,2,15787,16611
25684,2,8,62
80236,2,8,440
619160,2,27106,27377
586236,1,67893,68220
600840,2,55811,56223
61004,1,9,1853
621592,2,22928,23191
608160,2,42572,42949
598656,2,41060,43026
589124,0,44103,45258
588184,2,23718,26828
604620,2,36907,38238
583836,1,39119,39560
588052,2,1216,1531
577688,0,26199,26907
592540,2,39055,39670
20296,1,9,50
84640,2,44,173
588032,2,1163,2001
584292,0,66852,67164
0,2,0,2
1400580,2,27582,29877
551964,1,1475,2097
63492,1,23,3684
300400,0,12460,12528
570860,0,28726,33209
80224,2,9,430
119260,2,25,329
610112,2,6998,7096
81676,2,22,4071
596696,2,37715,39773
68164,2,9,50
1557096,2,31365,37658
20300,1,9,60
583240,2,18164,19809
1588048,2,20229,22277
584276,2,17406,18755
70488,2,10,1851
588820,2,27011,29702
632992,2,42175,43293
1413780,2,27622,30400
559320,1,1480,2082
25692,2,8,69
582284,2,19827,20920
606560,2,36492,39239
587908,1,27234,27761
585388,2,19402,21091
0,0,1,2
60900,1,9,1853
587196,0,64375,64707
104964,2,41,3489
61580,1,53,5537
592420,1,45357,46435
25668,2,7,78
72804,2,15,1851
16432,1,10,83
0,2,1,2
20288,1,9,68
614184,2,18231,18701
81696,2,11,2298
79236,2,7,54
64220,1,10,62
591712,0,67318,67651
61976,1,31,1851
62080,0,26,2423
537476,2,1138,1348
0,2,1,2
57188,1,8,1850
588064,2,1250,1703
53560,2,3,3606
558816,1,1679,2190
583584,1,32080,32694
584576,2,16984,18057
82680,2,39,309
67208,2,8,65
598828,2,45629,45970
590240,0,60843,61246
598848,2,35345,35705
1562288,2,31238,36446
931524,2,16425,18619
76504,2,9,967
0,2,1,2
590072,1,48444,49350
94428,2,16,168
592716,1,62072,62587
551948,1,1462,3255
25684,2,8,61
572324,1,18782,20219
64192,0,9,52
588088,2,1246,1535
53568,2,3,3606
575000,0,27784,28933
79288,2,8,72
582924,0,49778,51153
580172,1,27300,28167
25664,2,8,62
616528,2,23697,23923
1442296,2,22006,23643
1595228,2,31823,36278
598856,2,5719,5991
588056,2,1165,1634
591396,2,172927,173415
25664,2,9,63
578300,1,23040,24179
595920,2,33185,34033
1633748,2,33654,48617
20296,1,9,72
604192,2,5777,5975
64244,1,9,56
60764,0,8,958
73728,0,22,1854
595168,2,28704,29175
43880,0,3,3606
616016,2,46057,46512
25676,2,9,54
587324,2,25686,28343
598972,2,5985,6242
25684,2,8,50
41500,2,9,94
579936,2,15871,17509
592440,2,38196,38716
610780,2,42181,42518
76812,2,9,1854
1616836,2,33874,44982
1412924,2,27398,29469
614676,2,18849,19289
0,2,1,2
72604,2,10,1853
1189376,2,21165,25346
79296,2,9,64
597428,2,42245,44022
68888,2,9,68
581432,2,18067,19600
67196,0,9,432
592984,2,28994,29772
624908,2,24908,25166
583696,0,39258,39473
579364,1,46397,47117
615216,2,33990,34723
620532,2,44916,45328
64164,1,9,60
684748,1,55858,56313
576832,1,26298,26825
20692,2,9,78
949712,1,211,466
588128,2,1167,2216
71060,2,8,76
20744,2,7,92
90252,2,19,184
1397404,2,30841,33058
62924,0,8,53
1417632,2,27801,30458
80284,2,7,430
70728,2,8,52
582308,2,15351,16720
584332,0,46543,48585
580772,1,26901,27588
583972,1,42320,48265
596712,2,31882,32185
85720,2,9,75
581880,1,50364,51776
605208,2,30763,31478
25668,2,9,56
600756,2,44453,45976
1597692,2,34814,40376
581264,2,23616,24739
75520,2,9,950
79308,2,9,71
85224,2,7,249
1092340,2,1566,1632
592680,2,30349,30659
1425052,2,27784,29949
588268,2,1234,1559
79780,2,26,4292
602428,2,36246,36975
25660,2,8,56
598208,2,5927,6135
1096236,2,14938,15141
610048,2,40777,43439
20284,1,9,54
1583084,2,26788,29993
599440,2,41427,42864
590468,2,15283,16322
593668,2,30628,31203
592168,2,172819,173882
63452,1,34,1851
596988,2,41684,42174
573060,0,23497,26451
573476,1,25622,26191
579028,1,35301,36467
55496,2,8,58
25652,2,8,51
156216,2,33,579
25692,2,8,75
20292,0,10,68
64168,1,9,51
583732,2,24739,27811
587052,2,1154,1401
568984,1,32603,40233
597864,2,39370,40597
0,2,1,1
601868,2,31595,32317
584476,2,20782,22113
85592,2,8,77
1557916,2,31464,35873
593656,2,38996,39437
86616,2,21,3813
60924,1,9,1853
80196,2,9,247
74256,2,8,109
67004,2,8,74
72200,2,7,169
25692,2,8,55
602444,2,43124,45747
74772,2,9,258
1195800,0,26658,38678
74812,2,9,1855
593728,2,32058,32862
72996,1,9,286
594144,2,34467,34992
604408,1,22738,33625
581956,1,51316,55277
71688,0,9,88
59908,1,8,1849
64208,0,8,61
612572,2,45182,47990
1585852,2,32105,36355
7460,2,0,1
630948,0,1434,1736
79328,2,10,64
74848,2,8,71
20292,1,9,67
580688,0,46176,47486
604480,2,45745,47418
0,2,1,2
72212,2,7,169
599544,1,29702,30222
71652,2,8,960
588220,2,1229,1661
85864,2,9,964
582904,2,25071,27772
580732,1,44534,46635
20720,2,9,76
0,2,3,6
69304,2,9,60
15548,2,1,2
571676,1,25726,26402
580284,1,46683,47783
584568,0,58031,59221
25644,2,8,56
581680,0,6499,6611
568212,1,18166,19404
68924,2,7,79
25664,2,8,75
580624,0,44899,46110
20304,0,8,52
79268,2,9,72
614784,2,45211,45848
69076,1,51,175
613964,2,21897,22363
588112,2,1214,1543
586992,2,14465,15193
79216,2,8,56
597244,2,41774,43041
568368,1,23676,26084
1258416,2,22508,42412
59844,1,8,1851
601268,2,42152,49056
573896,1,33861,35041
0,1,27,60
551940,1,1531,2209
71268,0,8,99
20324,1,8,50
601560,2,53314,53806
588224,2,1158,1836
81768,2,4,5599
85480,2,17,1531
75352,2,14,171
67196,1,9,247
598660,2,41349,43891
610284,0,47687,49330
71724,2,9,948
593748,2,30429,31478
600208,2,6124,6350
588700,0,67457,68035
598576,2,43044,44586
74348,2,8,81
69732,1,24,3194
160128,1,50,85
87696,2,28,4504
0,2,0,2
627684,2,24305,24568
83180,2,8,68
574444,0,30418,31696
74836,2,7,67
615092,2,29724,29941
79260,2,9,58
63824,2,3,190
1582424,2,26130,30350
110856,2,40,162
1552696,2,24752,27181
0,1,1,1
1188560,2,21259,31952
74796,2,9,59
55980,0,10,99
597324,2,30876,31333
598876,2,5750,5994
85244,2,8,86
595316,2,40351,41374
598136,0,62554,62881
571632,1,24858,26134
115040,2,36,5563
569356,1,29022,37802
648408,1,50954,51866
79232,2,8,59
598804,2,5633,5872
85180,2,8,73
583472,1,50466,52083
0,2,0,1
601088,2,42433,43039
599900,2,6000,6181
614176,2,15908,16029
25684,2,8,59
655968,2,43808,50861
1587312,2,26510,28879
55976,1,10,58
109912,2,21,300
43936,1,4,3608
61840,0,21,1854
582048,1,49571,51496
599940,2,47866,55169
20308,1,11,72
608496,2,44639,45850
1588800,2,27755,29832
20724,2,8,95
581816,2,21951,24294
582536,2,18180,18949
580096,2,21989,24087
569776,0,28626,29665
74816,2,9,1849
591264,2,39849,41059
596968,2,37935,39415
579716,1,25568,26326
79264,2,8,49
588316,2,172894,173260
20740,2,8,85
30636,2,10,95
592632,2,40750,42259
612932,2,43009,43365
569480,1,27243,28097
110212,2,25,3313
629472,2,43182,43588
580112,2,22890,24415
20704,2,9,79
618168,2,22006,22449
931360,2,16270,18590
1582536,2,32209,35490
0,0,4,4
62960,1,9,75
0,1,1,1
567524,1,26979,27490
585008,0,34754,35642
604008,2,25009,25799
74856,2,7,89
597248,2,36078,36376
589016,0,40970,43339
82808,2,40,353
581812,1,38844,39261
72680,2,30,1850
0,2,1,2
1397240,2,27752,30423
599236,0,53376,55896
614940,2,40251,40969
618428,2,37761,39005
60552,1,9,55
614096,2,23083,23294
0,2,1,2
43892,0,4,3607
63864,2,4,191
1643316,2,29464,32206
598164,2,5585,5817
600864,2,52882,53342
577588,0,23992,27269
910844,2,1048,5810
551956,1,1460,2091
596852,2,38561,40470
583252,0,45395,46548
580172,2,24218,25514
591108,1,30131,31547
1395820,2,30551,32679
68916,2,8,69
61148,0,10,1851
20716,2,8,76
588392,2,1273,1519
568076,1,25247,25834
567856,1,29056,40586
61816,1,13,951
0,2,1,1
0,2,1,2
79320,2,8,64
1220740,2,21107,26759
567628,1,28322,35206
598292,2,5929,6181
572704,1,30132,30986
85224,2,9,83
599920,2,18733,19599
588124,2,1237,1730
906392,2,1039,5239
74332,2,8,102
79272,2,8,54
71960,2,9,1854
615292,2,34659,35090
79264,2,8,68
67228,0,9,434
1200384,2,10834,12431
61844,0,21,1853
71448,2,8,960
64268,1,9,67
99412,2,8,1799
588076,2,1164,1696
598776,2,26001,26262
81744,2,4,5601
16448,1,9,82
0,2,1,1
20252,0,10,63
