SubmitTime,UserID,Used Memory,RunTime
1147950128,8,983904,8186
1149588512,19,617508,23942
1152737442,12,597220,43113
1151698661,12,79248,55
1152183188,12,594592,32726
1141080225,8,567956,29777
1149532673,13,1591112,37025
1147297539,13,569464,23072
1153178695,12,596780,42932
1149518504,13,580976,41748
1149914855,13,599716,52483
1151651655,2,20272,52
1151944217,12,593504,31809
1152298193,12,1580748,33646
1149490514,19,620144,22445
1145878338,8,570472,26148
1144599885,9,568644,25184
1153025017,12,598248,45130
1150967702,13,0,2
1152036968,12,597608,46223
1149947577,8,583684,57403
1145723899,8,575108,29072
1148547285,19,626396,43475
1148835697,19,598904,5994
1150827402,13,598040,49304
1151658480,12,600080,31691
1151654925,9,20316,54
1146821308,13,1193840,44675
1151909281,12,588732,5150
1149489452,19,614168,20491
1152084335,12,1587348,33475
1151438453,12,596572,33039
1149673482,19,0,4
1145468673,19,604096,52821
1152955193,12,595716,41393
1151266375,13,75616,1852
1150448481,13,72648,1848
1152171310,12,61404,71
1147984868,19,0,2
1140278453,8,593940,24442
1144600485,9,573356,28062
1152512535,12,7188,2
1151647253,9,20264,45
1148065934,13,81028,960
1151656124,9,69208,962
1147675025,13,596792,42292
1151699689,12,68904,68
1145905908,13,79296,68
1150982991,13,1544776,28327
1150984153,13,76660,2421
1149089218,21,582240,7348
1151694549,12,79228,77
1145567180,19,600808,55584
1151431849,12,25668,64
1153017089,12,20756,80
1150644746,8,61960,1855
1148853386,19,1354664,28043
1151543003,12,606220,35917
1154419909,12,68908,61
1147949590,13,0,2
1148112298,13,581384,17705
1147933803,13,582504,24718
1147506502,8,585740,47997
1152298792,12,1578780,28871
1142982149,9,58176,1856
1151267325,8,1534488,47673
1147471013,13,596620,51900
1146412433,19,591156,1566
1146415760,19,587996,1979
1140554260,8,569392,39832
1152299098,12,1398748,23753
1147422931,13,61312,961
1151163600,13,1553552,33789
1150061453,8,60348,172
1150645518,13,602192,43449
1146840278,8,68552,73
1151056455,13,603164,44427
1145559978,10,597188,53845
1136480423,6,939872,440
1150537522,21,601916,25157
1148450405,13,597044,27108
1151698302,12,85568,71
1136475824,6,944880,487
1151697525,12,1536652,28544
1149625130,8,584456,49531
1151651654,9,20288,56
1147298091,8,569144,23239
1147953116,13,0,2
1149439178,19,616604,21947
1151625346,12,20700,82
1146580813,13,576572,28578
1151650835,2,56024,61
1148554551,19,616244,36060
1151743509,12,25660,61
1153900569,12,69928,266
1151626100,12,85200,86
1149650426,19,63864,191
1145627159,13,583828,24302
1147673829,13,591960,38701
1149491943,19,10672,1
1148053281,13,117756,308
1145874998,13,596684,26211
1152637500,12,1629036,26686
1147933821,8,73972,7451
1158226654,4,63608,1862
1146203473,19,603104,29553
1149796344,19,613036,20121
1140831004,8,568840,26158
1146414526,19,588040,1657
