SubmitTime,UserID,Used Memory
1145180518,8,593872
1151557109,12,594480
1140738011,8,587524
1146723763,8,64768
1136977627,0,0
1149854607,13,596916
1151644991,12,25668
1146191477,19,597748
1145514567,19,600420
1149837089,13,66376
1149582978,13,579888
1142757387,9,575156
1148014887,19,620216
1149708439,19,622704
1152730412,12,622648
1153807009,9,581316
1152181316,12,25692
1151710653,12,25652
1151661084,12,116596
1152665675,12,1763228
1151644992,12,25668
1147298088,8,567476
1145260979,19,1105524
1151648902,2,20332
1151657275,12,593668
1145963324,19,1384448
1151697153,12,69436
1150943148,13,0
1145180526,8,575788
1153061560,12,601800
1150849650,13,143504
1151654419,9,20284
1147966278,13,581428
1151710620,9,55544
1151916022,2,64752
1146195170,19,631652
1151741652,9,16404
1152168453,12,97396
1144505477,12,595748
1147965037,13,590912
1148118036,21,618208
1136285616,6,59900
1154421224,12,1762588
1145598472,19,1393668
1150931420,13,0
1147954131,13,72816
1145298834,19,601396
1148848493,19,598892
1147399537,13,602376
1151715125,12,632628
1150735179,13,53544
1151626801,12,74844
1151653211,2,20272
1151718512,12,55488
1151402631,2,586516
1149452993,13,100472
1145180326,13,602372
1150061453,8,60348
1139105459,8,1271872
1147297597,13,570384
1152958399,12,599888
1146378471,19,598092
1145644864,13,595728
1146415258,19,588144
1151485407,12,25692
1155106377,12,596860
1150849351,13,1180204
1151611842,12,173352
1148905169,10,581200
1146849344,19,63956
1153722910,12,74808
1142756848,9,571164
1152794378,12,605184
1147329004,13,570424
1152513222,12,0
1151739290,12,79300
1146449397,19,588272
1146449920,19,588056
1150088745,13,72220
1153730292,12,25668
1152170608,12,89664
1151657644,12,79272
1151712878,12,68888
1151733820,12,25680
1151653673,12,68924
1153060070,12,598584
1153721166,9,62884
1145872803,13,592916
1149170310,21,80052
1149011014,13,1217312
1152991497,12,1547544
1151657637,2,20312
1149491956,19,25228
1150039700,13,593220
1151425279,12,596756
1141817152,9,0
1151620506,12,20732
1150929505,13,0
1151918811,2,0
1153226366,12,0
