SubmitTime,UserID,Used Memory
1154328610,9,577168
1146100624,19,1398384
1145876837,13,581464
1139894412,8,77596
1150794149,13,53560
1153753578,12,593592
1152669727,12,1758976
1153724060,2,67196
1147933829,8,1311632
1146417153,19,588104
1146581503,13,576764
1151714621,9,64248
1149508611,8,581296
1148318635,13,1754884
1137042964,0,630904
1147725447,13,588964
1150735536,13,53572
1149522796,13,594972
1151737636,12,75564
1145105195,13,570500
1151744985,9,64260
1149509244,13,596796
1153062052,12,606864
1146448982,19,588252
1150942320,13,0
1149768072,19,617284
1149368283,19,615196
1148290384,21,43628
1149671436,13,600880
1149797054,21,613708
1151725247,12,25672
1136936442,0,656016
1150128237,13,608084
1148318632,13,1183064
1151707945,9,64180
1151653205,9,20280
1136323519,6,945324
1146191480,19,600684
1151791891,2,16420
1153721766,9,67268
1150797313,13,53536
1153741850,12,25696
1152180284,12,25676
1152341296,12,81672
1150810751,13,43864
1147966252,13,0
1146006916,13,585312
1150572577,13,596364
1151745858,9,64220
1151619073,12,79304
1152628547,12,1550940
1149388265,19,613012
1152344986,12,76692
1151938236,12,170252
1151622693,12,79260
1145984022,13,577252
1148032866,13,601480
1150124058,13,592948
1151740119,12,25656
1144418765,12,588224
1146445583,19,588296
1151792482,12,85596
1151647712,2,20316
1151302046,13,581104
1145179006,13,580844
1148645751,19,598188
1151621718,12,74800
1151571167,12,618788
1154511620,12,144620
1151652373,9,20292
1147371694,13,83264
1147297091,13,581012
1151613161,9,1612624
1151646837,9,20284
1151752349,12,74784
1147300444,13,571028
1153900566,12,80240
1152300053,12,1593288
1147340579,13,599920
1149657967,19,63888
1141659487,9,41136
1140124706,8,567932
1149645464,19,63860
1152105075,12,71656
1148893420,19,598612
1146445598,19,588108
1153229094,12,0
1153983803,12,588344
1148981054,11,0
1149493451,19,606712
1152178736,12,25712
1151647718,12,70528
1152143949,12,150632
1151743006,9,20292
1153058481,12,1448832
1152793335,12,598088
1136480430,6,57160
1149517930,13,593680
1147373191,13,582060
1149542679,13,614108
1153807007,12,600044
1151650470,2,56000
1149064567,21,930572
1150447330,8,65692
1151063955,13,76540
1150058913,8,582032
1151621119,12,20720
1140985588,8,568348
1137500463,6,2098296
1150122339,19,626364
1146518171,19,1393944
1149387120,19,614240
1153754751,9,580884
1148653632,21,598064
1152299704,12,1578656
1151753463,12,68880
1146045649,13,582300
1148885018,19,874248
1148074964,13,84228
1151720544,12,68900
1147340586,13,63336
1150943868,13,0
1154328615,9,584400
1149134481,19,582264
1153229455,12,0
1152146988,12,25688
1148061935,13,80316
1152189369,12,602216
1145723895,8,571144
1153725831,2,20264
1145260983,19,609372
1148319105,13,1233552
1153175118,12,76536
1147298565,8,572344
1151655704,2,56028
1152178733,12,78768
1153807764,12,598012
1149726439,19,622412
1152147273,12,1593300
1149503341,13,592260
1151649265,9,20312
1140995611,8,568356
1151648857,12,85184
1151919717,12,0
1151746320,12,79260
1140647474,8,571732
1146013789,13,619164
1149708821,19,623472
1151411183,9,579928
1148877859,19,598640
1153028413,12,25668
1147680419,13,597452
1148100296,21,81760
1148022914,19,616936
1152343186,12,600404
1149820640,19,63876
1153747012,12,80236
1149577933,13,581140
1151435130,12,61088
1151753888,12,25668
1151730426,2,57404
1151725599,12,25648
1147788893,13,615112
1147299059,13,583140
1151652355,12,25692
1150568130,13,618024
1139105459,8,1271872
1151732083,12,68916
1153727393,12,90124
1140910734,8,575928
1152925424,12,601740
1149383839,19,614696
1147342155,13,577864
1140073193,8,573640
1149529713,8,583320
1149490355,13,599644
1146445581,19,588292
1150937673,13,0
1141953787,8,566760
1153107865,12,615864
1145722698,13,574744
1150819659,13,61948
1147474651,8,579448
1151624564,12,68868
1139962565,8,571552
1145547550,19,603188
1147232373,19,63972
1151754972,12,79304
1147507641,8,595208
1152343848,12,1370648
1146667879,8,67204
1151739285,12,79300
1146413703,19,588036
1153721169,9,20320
1147965788,13,0
1145926211,13,25688
1148621772,19,598200
1144418968,9,587748
1149408955,19,614056
1149331429,13,1221644
1150936739,13,0
1152174990,12,611316
1152446807,12,0
1146417135,19,587272
1145566776,19,601784
1151615141,12,20716
1151757584,12,25684
1153753847,12,597776
1149493400,19,609528
1149487524,19,47956
1145601323,19,614260
1151402144,2,584000
1145928104,13,25660
1150645574,13,596388
1150606775,13,618228
1151694910,12,25684
1146751480,13,1198100
1141953786,8,566564
1151049168,8,64208
1149662394,13,1590496
1155106377,12,593904
1149094120,19,581624
1147413861,8,60992
1151432724,12,593348
1147987257,19,616332
1152042277,12,588556
1154419917,12,25664
1151266366,13,63300
1142834872,9,552300
1152769018,12,622456
1139608543,8,572516
1151658474,12,593396
1149094194,19,582348
1145350704,10,590728
1153727990,12,80244
1140701983,8,571268
1151651290,9,61544
1147694186,13,590964
1151652358,12,1217380
1148064236,21,626372
1141715517,8,580412
1136289309,6,57148
1151044240,13,593980
1151498213,12,594912
1149484412,19,616080
1154123846,12,594832
1149404853,19,615048
1153753214,12,80216
1151521191,9,580696
1153737929,12,80260
1149547026,13,597988
1152023174,12,112152
1147269009,13,639788
1136286320,6,59892
1151627177,12,79284
1151049483,13,594116
1146581495,8,578792
1150982997,13,1192992
1145178056,13,575040
1153736351,12,74812
1151933308,12,80348
1150734707,13,53492
1151659939,12,79264
1147727000,13,584400
1151265964,8,62008
1151737213,12,25688
1139570614,8,581140
1149659725,19,63840
1151302096,13,581576
1153748520,12,74852
1151648858,12,71648
1149552761,13,595124
1150943024,13,0
1154026592,12,614948
1150849352,13,1617576
1151717317,12,85804
1145468290,19,582348
1151712873,12,85644
1150556874,13,617068
1150928594,13,0
1147431033,13,71616
1146193317,19,598408
1146450280,19,588088
1145945243,13,95088
1149555720,19,615708
1151738420,12,25644
1149791960,19,614996
1152146985,12,147000
1151066446,13,610320
1145219534,19,601780
1152344986,12,71604
1145898258,13,71836
1149796756,21,611036
1141860078,9,0
1145532981,13,597584
1151625756,12,20744
1152448046,12,0
1152174870,12,84216
1151914037,2,60772
1150969229,13,72884
1146821308,13,1193840
1149506882,13,592088
1151723592,12,71600
1145882108,13,573440
1151650848,12,79256
1145371799,19,606092
1145336594,10,607776
1151702550,12,25696
1153753853,12,626280
1151915070,12,76568
1146418482,19,588332
1149587209,19,617044
1152179927,12,76696
1151715910,12,25668
1154421173,12,1675452
1151928697,12,0
1149122141,19,581632
1150794090,13,53540
1153740239,12,25680
1149959315,8,584072
1151309904,8,601932
1151052874,13,596460
1146445595,19,588344
1147726401,13,601968
1144396373,12,587708
1151938230,12,1518368
1136324840,6,949360
1150970738,8,583308
1151814654,12,590416
1146447186,19,588328
1149508598,13,594456
1140104009,8,568776
